,0,1,2
date_block_num,1177.861476209482,1177.861476209482,1177.861476209482
item_cat1,1123.8656367266249,1123.8656367266249,1123.8656367266249
item_cat2,813.4527249945513,813.4527249945513,813.4527249945513
item_id,672.7739450201858,672.7739450201858,672.7739450201858
price_mean_cat1_cat2_lag_1,261.4393863478182,261.4393863478182,261.4393863478182
price_mean_cat1_cat2_lag_2,437.05246716000016,437.05246716000016,437.05246716000016
price_mean_cat1_cat2_lag_3,362.1348860733334,362.1348860733334,362.1348860733334
price_mean_cat1_cat2_lag_4,164.05170377789477,164.05170377789477,164.05170377789477
price_mean_cat1_cat2_lag_5,368.8642840515625,368.8642840515625,368.8642840515625
price_mean_cat1_cat2_lag_6,107.513085125,107.513085125,107.513085125
price_mean_cat1_type_lag_1,232.94962783830772,232.94962783830772,232.94962783830772
price_mean_cat1_type_lag_2,318.8501673461112,318.8501673461112,318.8501673461112
price_mean_cat1_type_lag_3,145.1013424307188,145.1013424307188,145.1013424307188
price_mean_cat2_type_lag_1,175.06754810428575,175.06754810428575,175.06754810428575
price_mean_cat2_type_lag_2,142.56315311064864,142.56315311064864,142.56315311064864
price_mean_cat2_type_lag_3,186.54455810311364,186.54455810311364,186.54455810311364
price_mean_cat2_type_lag_4,164.01963845945937,164.01963845945937,164.01963845945937
price_mean_item_city_lag_1,407.25819653735573,407.25819653735573,407.25819653735573
price_mean_item_city_lag_2,142.1974652113044,142.1974652113044,142.1974652113044
price_mean_item_city_lag_5,129.7463996,129.7463996,129.7463996
price_mean_month_lag_1,150.39713017355,150.39713017355,150.39713017355
price_mean_month_lag_2,221.21416465206522,221.21416465206522,221.21416465206522
price_mean_month_lag_3,160.3981352777049,160.3981352777049,160.3981352777049
price_mean_month_lag_4,277.24776787999997,277.24776787999997,277.24776787999997
price_mean_month_lag_5,332.91577149600005,332.91577149600005,332.91577149600005
price_mean_month_lag_6,123.43891815403511,123.43891815403511,123.43891815403511
price_std_month_lag_1,191.56769643125983,191.56769643125983,191.56769643125983
price_std_month_lag_2,119.95377398086272,119.95377398086272,119.95377398086272
price_std_month_lag_3,143.99028066832645,143.99028066832645,143.99028066832645
price_std_month_lag_4,110.028539345,110.028539345,110.028539345
price_std_month_lag_5,161.44556639600003,161.44556639600003,161.44556639600003
price_std_month_lag_6,113.08954875307691,113.08954875307691,113.08954875307691
rev_mean_cat1_cat2_lag_1,257.97522428891307,257.97522428891307,257.97522428891307
rev_mean_cat1_cat2_lag_2,236.49689923405413,236.49689923405413,236.49689923405413
rev_mean_cat1_cat2_lag_3,200.7767644164,200.7767644164,200.7767644164
rev_mean_cat1_cat2_lag_4,192.63357779615384,192.63357779615384,192.63357779615384
rev_mean_cat1_cat2_lag_5,224.87141559586198,224.87141559586198,224.87141559586198
rev_mean_cat1_cat2_lag_6,166.79912430850004,166.79912430850004,166.79912430850004
rev_mean_cat1_city_lag_1,224.8001718470841,224.8001718470841,224.8001718470841
rev_mean_cat1_city_lag_2,168.60074101595248,168.60074101595248,168.60074101595248
rev_mean_cat1_type_lag_1,305.90656485440684,305.90656485440684,305.90656485440684
rev_mean_cat1_type_lag_2,107.88611795031251,107.88611795031251,107.88611795031251
rev_mean_cat1_type_lag_3,249.9310523411764,249.9310523411764,249.9310523411764
rev_mean_cat2_type_lag_1,237.25313811365382,237.25313811365382,237.25313811365382
rev_mean_cat2_type_lag_2,124.85816465585368,124.85816465585368,124.85816465585368
rev_mean_cat2_type_lag_3,149.92782558407404,149.92782558407404,149.92782558407404
rev_mean_cat2_type_lag_4,137.42167358588242,137.42167358588242,137.42167358588242
rev_mean_item_city_lag_1,247.74199521939997,247.74199521939997,247.74199521939997
rev_mean_item_city_lag_2,121.98756786399998,121.98756786399998,121.98756786399998
rev_mean_item_city_lag_5,87.81989534853658,87.81989534853658,87.81989534853658
rev_mean_item_type_lag_1,205.19122950645468,205.19122950645468,205.19122950645468
rev_sum_month_lag_1,123.56335973789372,123.56335973789372,123.56335973789372
rev_sum_month_lag_2,139.53721645550002,139.53721645550002,139.53721645550002
rev_sum_month_lag_3,455.35613607588846,455.35613607588846,455.35613607588846
rev_sum_month_lag_4,119.10386781839293,119.10386781839293,119.10386781839293
rev_sum_month_lag_5,88.42522713345461,88.42522713345461,88.42522713345461
rev_sum_month_lag_6,184.49012134928572,184.49012134928572,184.49012134928572
shop_count_cat1_cat2_lag_1,690.0411360021565,690.0411360021565,690.0411360021565
shop_count_cat1_cat2_lag_2,288.4192905980952,288.4192905980952,288.4192905980952
shop_count_cat1_cat2_lag_3,432.8327789164,432.8327789164,432.8327789164
shop_count_cat1_cat2_lag_4,205.12218922341378,205.12218922341378,205.12218922341378
shop_count_cat1_cat2_lag_5,120.62408642800001,120.62408642800001,120.62408642800001
shop_count_cat1_cat2_lag_6,203.2575313410256,203.2575313410256,203.2575313410256
shop_count_cat1_type_lag_1,130.88744043808856,130.88744043808856,130.88744043808856
shop_count_cat1_type_lag_2,184.19177751232556,184.19177751232556,184.19177751232556
shop_count_cat1_type_lag_3,164.41797715346155,164.41797715346155,164.41797715346155
shop_count_item_city_lag_1,183.18129734459018,183.18129734459018,183.18129734459018
shop_count_item_city_lag_2,122.25586930387094,122.25586930387094,122.25586930387094
